zone_id,zone_name,case_key,season,rear_bearing_true_deg,baseline_mean_h,likely_mean_h,conservative_mean_h,baseline_minus_conservative_mean_h,baseline_minus_conservative_median_h,baseline_minus_conservative_p10_h,baseline_minus_conservative_p90_h,materiality_threshold_h,materially_sensitive
5,ZONE_5,AUTUMN_B330,AUTUMN,330.0,4.5546875,4.24375,3.897991071428571,0.6566964285714292,0.7187500000000004,0.7875000000000005,0.7875000000000005,0.5,True
6,ZONE_6,AUTUMN_B330,AUTUMN,330.0,5.788292682926829,5.773658536585366,5.1733414634146335,0.6149512195121956,0.6000000000000014,0.13750000000000018,0.9874999999999998,0.5,True
7,ZONE_7,AUTUMN_B330,AUTUMN,330.0,3.8341176470588234,3.735529411764706,3.441676470588235,0.3924411764705886,0.5375000000000005,0.0,0.7000000000000002,0.5,True
1,ZONE_1,AUTUMN_B335,AUTUMN,335.0,6.511481712385702,6.3987738985868665,5.4216126350789695,1.0898690773067328,1.1624999999999996,0.6624999999999996,1.2374999999999998,0.5,True
2,ZONE_2,AUTUMN_B335,AUTUMN,335.0,6.449652777777778,6.349652777777778,5.349652777777778,1.0999999999999996,1.1000000000000005,1.1000000000000005,1.0999999999999996,0.5,True
3,ZONE_3,AUTUMN_B335,AUTUMN,335.0,4.366462628865979,4.1952319587628875,3.7754510309278344,0.5910115979381447,0.8000000000000007,0.2187500000000009,0.5500000000000007,0.5,True
4,ZONE_4,AUTUMN_B335,AUTUMN,335.0,1.839003164556962,1.7831487341772152,1.3982199367088606,0.4407832278481014,0.2999999999999998,0.0,1.0999999999999996,0.5,True
5,ZONE_5,AUTUMN_B335,AUTUMN,335.0,4.665178571428571,4.244642857142858,3.6999999999999993,0.9651785714285719,1.0500000000000007,1.0500000000000007,0.8000000000000007,0.5,True
6,ZONE_6,AUTUMN_B335,AUTUMN,335.0,5.41079268292683,5.3092195121951224,4.61459756097561,0.7961951219512198,0.75,0.13750000000000018,1.25,0.5,True
7,ZONE_7,AUTUMN_B335,AUTUMN,335.0,3.731176470588235,3.593411764705883,3.1768235294117644,0.5543529411764707,0.8000000000000007,0.0,0.9625000000000004,0.5,True
1,ZONE_1,WINTER_B325,WINTER,325.0,2.853361388196176,2.181899418121363,1.5986180382377393,1.2547433499584368,1.3749999999999996,0.09375,1.9249999999999998,0.5,True
2,ZONE_2,WINTER_B325,WINTER,325.0,4.945529513888889,3.7868055555555546,2.5394097222222225,2.406119791666667,2.3,2.4875,2.3,0.5,True
3,ZONE_3,WINTER_B325,WINTER,325.0,1.2264819587628866,1.0695876288659794,0.9333440721649484,0.29313788659793816,0.2875000000000001,0.0,0.6624999999999999,0.5,True
4,ZONE_4,WINTER_B325,WINTER,325.0,0.07683939873417721,0.061471518987341774,0.007654272151898735,0.06918512658227848,0.0,0.0,0.1875,0.5,False
5,ZONE_5,WINTER_B325,WINTER,325.0,1.2544642857142858,1.0848214285714286,0.9645089285714284,0.28995535714285736,0.3375,0.32499999999999996,0.2875000000000001,0.5,False
6,ZONE_6,WINTER_B325,WINTER,325.0,4.973536585365854,3.97970731707317,2.954219512195122,2.0193170731707317,2.0999999999999996,1.7999999999999998,2.1375,0.5,True
7,ZONE_7,WINTER_B325,WINTER,325.0,1.6991176470588236,1.5056470588235293,1.2060882352941176,0.49302941176470605,0.4874999999999998,0.0,1.0875000000000004,0.5,True
